cs_run,expname,station,ice_dominant_process,ice_dominant_fraction,ice_runner_up_process,liq_dominant_process,liq_dominant_fraction,liq_runner_up_process,window_minutes,table_id,selection_rule,source_csvs
cs-eriswil__20260210_113944,20260210113944,S1,Aggregation (ice),0.0,Contact Freezing (ice),Breakup (liq),0.0,Condensation (liq),2.5,process_attribution,keep pilot process-attribution rows that belong to paper_core_subset.csv; preserve one row per experiment and station for the early-window pilot matrix,data/registry/pilot_process_attribution_matrix.csv;data/registry/paper_core_subset.csv
cs-eriswil__20260210_113944,20260210114328,S1,Aggregation (ice),0.0,Contact Freezing (ice),Breakup (liq),0.0,Condensation (liq),2.5,process_attribution,keep pilot process-attribution rows that belong to paper_core_subset.csv; preserve one row per experiment and station for the early-window pilot matrix,data/registry/pilot_process_attribution_matrix.csv;data/registry/paper_core_subset.csv
cs-eriswil__20260211_194236,20260211194619,S1,Deposition (ice),1.0,Aggregation (ice),Riming (liq),1.0,Breakup (liq),2.5,process_attribution,keep pilot process-attribution rows that belong to paper_core_subset.csv; preserve one row per experiment and station for the early-window pilot matrix,data/registry/pilot_process_attribution_matrix.csv;data/registry/paper_core_subset.csv
cs-eriswil__20260211_194236,20260211194619,S2,Aggregation (ice),0.0,Contact Freezing (ice),Immersion Freezing (liq),1.0,Breakup (liq),2.5,process_attribution,keep pilot process-attribution rows that belong to paper_core_subset.csv; preserve one row per experiment and station for the early-window pilot matrix,data/registry/pilot_process_attribution_matrix.csv;data/registry/paper_core_subset.csv
cs-eriswil__20260211_194236,20260211194619,S3,Deposition (ice),1.0,Aggregation (ice),Drop Collision (liq),0.9999946861790566,Immersion Freezing (liq),2.5,process_attribution,keep pilot process-attribution rows that belong to paper_core_subset.csv; preserve one row per experiment and station for the early-window pilot matrix,data/registry/pilot_process_attribution_matrix.csv;data/registry/paper_core_subset.csv
cs-eriswil__20260304_110254,20260304110446,S1,Riming (ice),0.9998352266584668,Contact Freezing (ice),Condensation (liq),0.9999999816515523,Immersion Freezing (liq),2.5,process_attribution,keep pilot process-attribution rows that belong to paper_core_subset.csv; preserve one row per experiment and station for the early-window pilot matrix,data/registry/pilot_process_attribution_matrix.csv;data/registry/paper_core_subset.csv
cs-eriswil__20260304_110254,20260304110446,S2,Riming (ice),0.9996700753229,Contact Freezing (ice),Condensation (liq),1.0,Breakup (liq),2.5,process_attribution,keep pilot process-attribution rows that belong to paper_core_subset.csv; preserve one row per experiment and station for the early-window pilot matrix,data/registry/pilot_process_attribution_matrix.csv;data/registry/paper_core_subset.csv
cs-eriswil__20260304_110254,20260304110446,S3,Riming (ice),0.999687931411,Contact Freezing (ice),Condensation (liq),1.0,Breakup (liq),2.5,process_attribution,keep pilot process-attribution rows that belong to paper_core_subset.csv; preserve one row per experiment and station for the early-window pilot matrix,data/registry/pilot_process_attribution_matrix.csv;data/registry/paper_core_subset.csv
cs-eriswil__20260304_110254,20260304110638,S1,Immersion Freezing (ice),1.0,Aggregation (ice),Condensation (liq),0.9999913750420616,Drop Collision (liq),2.5,process_attribution,keep pilot process-attribution rows that belong to paper_core_subset.csv; preserve one row per experiment and station for the early-window pilot matrix,data/registry/pilot_process_attribution_matrix.csv;data/registry/paper_core_subset.csv
cs-eriswil__20260304_110254,20260304110638,S2,Aggregation (ice),0.0,Condensation (ice),Immersion Freezing (liq),0.7464465168359289,Drop Collision (liq),2.5,process_attribution,keep pilot process-attribution rows that belong to paper_core_subset.csv; preserve one row per experiment and station for the early-window pilot matrix,data/registry/pilot_process_attribution_matrix.csv;data/registry/paper_core_subset.csv
cs-eriswil__20260304_110254,20260304110638,S3,Aggregation (ice),0.0,Condensation (ice),Condensation (liq),0.9999743718290236,Drop Collision (liq),2.5,process_attribution,keep pilot process-attribution rows that belong to paper_core_subset.csv; preserve one row per experiment and station for the early-window pilot matrix,data/registry/pilot_process_attribution_matrix.csv;data/registry/paper_core_subset.csv
cs-eriswil__20260304_110254,20260304111020,S1,Immersion Freezing (ice),0.984445701630501,Riming (ice),Condensation (liq),1.0,Breakup (liq),2.5,process_attribution,keep pilot process-attribution rows that belong to paper_core_subset.csv; preserve one row per experiment and station for the early-window pilot matrix,data/registry/pilot_process_attribution_matrix.csv;data/registry/paper_core_subset.csv
cs-eriswil__20260304_110254,20260304111020,S2,Condensation (ice),0.7364232209737828,Contact Freezing (ice),Breakup (liq),0.0,Condensation (liq),2.5,process_attribution,keep pilot process-attribution rows that belong to paper_core_subset.csv; preserve one row per experiment and station for the early-window pilot matrix,data/registry/pilot_process_attribution_matrix.csv;data/registry/paper_core_subset.csv
cs-eriswil__20260304_110254,20260304111020,S3,Riming (ice),0.9990548492332084,Condensation (ice),Drop Collision (liq),1.0,Breakup (liq),2.5,process_attribution,keep pilot process-attribution rows that belong to paper_core_subset.csv; preserve one row per experiment and station for the early-window pilot matrix,data/registry/pilot_process_attribution_matrix.csv;data/registry/paper_core_subset.csv
cs-eriswil__20260304_110254,20260304111212,S1,Immersion Freezing (ice),0.984532537639802,Riming (ice),Breakup (liq),0.0,Condensation (liq),2.5,process_attribution,keep pilot process-attribution rows that belong to paper_core_subset.csv; preserve one row per experiment and station for the early-window pilot matrix,data/registry/pilot_process_attribution_matrix.csv;data/registry/paper_core_subset.csv
cs-eriswil__20260304_110254,20260304111212,S2,Condensation (ice),1.0,Aggregation (ice),Breakup (liq),0.0,Condensation (liq),2.5,process_attribution,keep pilot process-attribution rows that belong to paper_core_subset.csv; preserve one row per experiment and station for the early-window pilot matrix,data/registry/pilot_process_attribution_matrix.csv;data/registry/paper_core_subset.csv
cs-eriswil__20260304_110254,20260304111212,S3,Aggregation (ice),0.0,Condensation (ice),Condensation (liq),1.0,Breakup (liq),2.5,process_attribution,keep pilot process-attribution rows that belong to paper_core_subset.csv; preserve one row per experiment and station for the early-window pilot matrix,data/registry/pilot_process_attribution_matrix.csv;data/registry/paper_core_subset.csv
