cs_run,exp_id,expname,is_reference,flare_emission,ishape,ikeis,domain,remote_run_dir,remote_json,meteogram_count,three_d_count,lv1_ready,lv2_ready,local_lv1_available,local_lv2_available,local_lv3_available,ref_exp_id,ref_expname,pair_method,pair_status,has_reference_pair,ref_used_by_flare,usable_for_lv1,usable_for_lv2,usable_for_plume_tracking,usable_for_process_budget,include_in_paper,table_id,selection_rule,source_csvs
cs-eriswil__20260120_204218,0,20260120204219,FALSE,1000000.0,4,1,50x40xZ,OK,OK,0,3,YES,NO,FALSE,FALSE,FALSE,1,20260120204430,single_reference,MATCHED,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,experiment_matrix,use all rows in paper_core_subset.csv sorted by cs_run and exp_id,output/tables/registry/paper_core_subset.csv
cs-eriswil__20260120_204218,1,20260120204430,TRUE,0.0,1,1,50x40xZ,OK,OK,0,3,YES,NO,FALSE,FALSE,FALSE,,,,,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,experiment_matrix,use all rows in paper_core_subset.csv sorted by cs_run and exp_id,output/tables/registry/paper_core_subset.csv
cs-eriswil__20260120_204218,2,20260120204641,FALSE,1000000.0,1,1,50x40xZ,OK,OK,0,3,YES,NO,FALSE,FALSE,FALSE,1,20260120204430,same_shape,MATCHED,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,experiment_matrix,use all rows in paper_core_subset.csv sorted by cs_run and exp_id,output/tables/registry/paper_core_subset.csv
cs-eriswil__20260121_131528,0,20260121131528,TRUE,0.0,1,1,50x40xZ,OK,OK,0,3,YES,NO,TRUE,FALSE,FALSE,,,,,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,experiment_matrix,use all rows in paper_core_subset.csv sorted by cs_run and exp_id,output/tables/registry/paper_core_subset.csv
cs-eriswil__20260121_131528,1,20260121131550,FALSE,1000000.0,1,1,50x40xZ,OK,OK,0,3,YES,NO,TRUE,FALSE,FALSE,0,20260121131528,same_shape,MATCHED,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,experiment_matrix,use all rows in paper_core_subset.csv sorted by cs_run and exp_id,output/tables/registry/paper_core_subset.csv
cs-eriswil__20260121_131528,2,20260121131632,FALSE,1000000.0,4,1,50x40xZ,OK,OK,0,3,YES,NO,TRUE,FALSE,FALSE,0,20260121131528,single_reference,MATCHED,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,experiment_matrix,use all rows in paper_core_subset.csv sorted by cs_run and exp_id,output/tables/registry/paper_core_subset.csv
cs-eriswil__20260127_211338,0,20260127211338,TRUE,0.0,2,1,50x40xZ,OK,OK,0,4,YES,NO,TRUE,FALSE,FALSE,,,,,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,experiment_matrix,use all rows in paper_core_subset.csv sorted by cs_run and exp_id,output/tables/registry/paper_core_subset.csv
cs-eriswil__20260127_211338,1,20260127211431,FALSE,1000000.0,2,1,50x40xZ,OK,OK,0,4,YES,NO,TRUE,FALSE,FALSE,0,20260127211338,same_shape,MATCHED,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,experiment_matrix,use all rows in paper_core_subset.csv sorted by cs_run and exp_id,output/tables/registry/paper_core_subset.csv
cs-eriswil__20260127_211338,2,20260127211516,TRUE,0.0,3,1,50x40xZ,OK,OK,0,4,YES,NO,TRUE,FALSE,FALSE,,,,,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,experiment_matrix,use all rows in paper_core_subset.csv sorted by cs_run and exp_id,output/tables/registry/paper_core_subset.csv
cs-eriswil__20260127_211338,3,20260127211551,FALSE,1000000.0,3,1,50x40xZ,OK,OK,0,4,YES,NO,TRUE,FALSE,FALSE,2,20260127211516,same_shape,MATCHED,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,experiment_matrix,use all rows in paper_core_subset.csv sorted by cs_run and exp_id,output/tables/registry/paper_core_subset.csv
